cadvisor_version_info,node_name=kubernetes3,cadvisorRevision="",cadvisorVersion="",dockerVersion="1.13.1",kernelVersion="4.4.0-130-generic",osVersion="Ubuntu_16.04.3_LTS" value=1 1533123583734030008
container_cpu_cfs_periods_total,node_name=kubernetes3,container_name="",id="/kubepods/podee6b1c3c-93b9-11e8-85af-fa163e6b6597",image="",name="",namespace="ingress-nginx",pod_name="default-http-backend-846b65fb5f-82tnk" value=41190 1533123583734030008
container_cpu_cfs_periods_total,node_name=kubernetes3,container_name="default-http-backend",id="/kubepods/podee6b1c3c-93b9-11e8-85af-fa163e6b6597/2a5dd21f52004f73356aa6a7aeab9269e770193509f5b44680247d652bd4ba31",image="sha256:846921f0fe0e57df9e4d4961c0c4af481bf545966b5f61af68e188837363530e",name="k8s_default-http-backend_default-http-backend-846b65fb5f-82tnk_ingress-nginx_ee6b1c3c-93b9-11e8-85af-fa163e6b6597_0",namespace="ingress-nginx",pod_name="default-http-backend-846b65fb5f-82tnk" value=41119 1533123583734030008
container_cpu_cfs_throttled_periods_total,node_name=kubernetes3,container_name="",id="/kubepods/podee6b1c3c-93b9-11e8-85af-fa163e6b6597",image="",name="",namespace="ingress-nginx",pod_name="default-http-backend-846b65fb5f-82tnk" value=14926 1533123583734030008
container_cpu_cfs_throttled_periods_total,node_name=kubernetes3,container_name="default-http-backend",id="/kubepods/podee6b1c3c-93b9-11e8-85af-fa163e6b6597/2a5dd21f52004f73356aa6a7aeab9269e770193509f5b44680247d652bd4ba31",image="sha256:846921f0fe0e57df9e4d4961c0c4af481bf545966b5f61af68e188837363530e",name="k8s_default-http-backend_default-http-backend-846b65fb5f-82tnk_ingress-nginx_ee6b1c3c-93b9-11e8-85af-fa163e6b6597_0",namespace="ingress-nginx",pod_name="default-http-backend-846b65fb5f-82tnk" value=14931 1533123583734030008
container_cpu_cfs_throttled_seconds_total,node_name=kubernetes3,container_name="",id="/kubepods/podee6b1c3c-93b9-11e8-85af-fa163e6b6597",image="",name="",namespace="ingress-nginx",pod_name="default-http-backend-846b65fb5f-82tnk" value=1709.483315294 1533123583734030008
container_cpu_cfs_throttled_seconds_total,node_name=kubernetes3,container_name="default-http-backend",id="/kubepods/podee6b1c3c-93b9-11e8-85af-fa163e6b6597/2a5dd21f52004f73356aa6a7aeab9269e770193509f5b44680247d652bd4ba31",image="sha256:846921f0fe0e57df9e4d4961c0c4af481bf545966b5f61af68e188837363530e",name="k8s_default-http-backend_default-http-backend-846b65fb5f-82tnk_ingress-nginx_ee6b1c3c-93b9-11e8-85af-fa163e6b6597_0",namespace="ingress-nginx",pod_name="default-http-backend-846b65fb5f-82tnk" value=1848.987234057 1533123583734030008
container_cpu_load_average_10s,node_name=kubernetes3,container_name="",id="/",image="",name="",namespace="",pod_name="" value=0 1533123583734030008
container_cpu_load_average_10s,node_name=kubernetes3,container_name="",id="/init.scope",image="",name="",namespace="",pod_name="" value=0 1533123583734030008
container_cpu_load_average_10s,node_name=kubernetes3,container_name="",id="/kubepods",image="",name="",namespace="",pod_name="" value=0 1533123583734030008
container_cpu_load_average_10s,node_name=kubernetes3,container_name="",id="/kubepods/besteffort",image="",name="",namespace="",pod_name="" value=0 1533123583734030008
